id,medium,publicaties,seed_url,scope_domain,categorie,provincie,regio,stad,mediumthema,contact_trefwoorden,prioriteit,catalogusbron
nnp_uitgeverij_stedendriehoek,Uitgeverij Stedendriehoek,Uitgeverij Stedendriehoek,http://www.stedendriehoek.nl,stedendriehoek.nl,lokale krant of uitgever,Gelderland,Stedendriehoek,Apeldoorn,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_talvi_uitgeverij,Talvi uitgeverij,Talvi uitgeverij,http://www.uitgeverij-talvi.nl,uitgeverij-talvi.nl,lokale krant of uitgever,Noord-Brabant,Noordoost-Brabant,Uden,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_telstar_mediacentrum,Telstar Mediacentrum,Telstar Mediacentrum,http://www.telstarmediacentrum.nl,telstarmediacentrum.nl,lokale krant of uitgever,Zuid-Holland,Haaglanden,Pijnacker,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_de_toren,De Toren,De Toren,http://www.detoren.net/,detoren.net,lokale krant of uitgever,Overijssel,Vechtdal,Hardenberg,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitgeverij_de_uitkomst,UItgeverij De Uitkomst,UItgeverij De Uitkomst,http://www.de-uitkomst.nl,de-uitkomst.nl,lokale krant of uitgever,Noord-Holland,Land van Leeghwater,De Rijp,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitkijkpost_media,Uitkijkpost Media,Uitkijkpost Media,http://www.uitkijkpost.nl/,uitkijkpost.nl,lokale krant of uitgever,Noord-Holland,Noord-Kennemerland,Heiloo,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_het_urkerland,Het Urkerland,Het Urkerland,http://www.heturkerland.nl,heturkerland.nl,lokale krant of uitgever,Flevoland,Flevoland,Urk,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitgeverij_verhagen,Uitgeverij Verhagen,Uitgeverij Verhagen,http://www.uitgeverijverhagen.nl,uitgeverijverhagen.nl,lokale krant of uitgever,Zuid-Holland,Duin- en Bollenstreek,Katwijk,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_vermeulen_steenbergen,Vermeulen Steenbergen,Vermeulen Steenbergen,http://www.vermeulensteenbergen.nl/,vermeulensteenbergen.nl,lokale krant of uitgever,Noord-Brabant,West-Brabant,Steenbergen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_voorster_nieuws,Voorster Nieuws,Voorster Nieuws,http://www.voorsternieuws.nl,voorsternieuws.nl,lokale krant of uitgever,Gelderland,Stedendriehoek,Twello,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_de_wassenaarse_krant_bv,De Wassenaarse Krant BV,De Wassenaarse Krant BV,https://www.dewassenaarsekrant.nl,dewassenaarsekrant.nl,lokale krant of uitgever,Zuid-Holland,Haaglanden,Wassenaar,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_wijchens_weekblad_wegwijs,Wijchens Weekblad Wegwijs,Wijchens Weekblad Wegwijs,http://www.weekblad-wegwijs.nl/,weekblad-wegwijs.nl,lokale krant of uitgever,Gelderland,Rijk van Nijmegen,Wijchen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_xebius_media_groep,Xebius Media Groep,Xebius Media Groep,https://www.xebius.nl,xebius.nl,lokale krant of uitgever,Zuid-Holland,Drechtsteden,Hendrik-Ido-Ambacht,algemeen nieuws,,normaal,https://www.nnp.nl/leden
bdu_baarn_huis_aan_huis,De Week Regio Baarn,De Week Regio Baarn,https://www.baarnschecourant.nl,baarnschecourant.nl,lokale krant,Utrecht,Eemland,Baarn,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/baarn-huis-aan-huis
bdu_bunniks_nieuws,Bunniks Nieuws,Bunniks Nieuws,https://www.bunniksnieuws.nl,bunniksnieuws.nl,lokale krant,Utrecht,Kromme Rijnstreek,Bunnik,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/bunniks-nieuws
bdu_barneveld_huis_aan_huis,De Week Regio Barneveld,De Week Regio Barneveld,https://www.barneveldsekrant.nl,barneveldsekrant.nl,lokale krant,Gelderland,Gelderse Vallei,Barneveld,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/barneveld-huis-aan-huis
bdu_de_puttenaer,De Puttenaer,De Puttenaer,https://www.deputtenaer.nl,deputtenaer.nl,lokale krant,Gelderland,Veluwe,Putten,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/de-puttenaer
bdu_baarnsche_courant,Baarnsche Courant,Baarnsche Courant,https://www.baarnschecourant.nl,baarnschecourant.nl,lokale krant,Utrecht,Eemland,Baarn,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/baarnsche-courant
bdu_barneveldse_krant,Barneveldse Krant,Barneveldse Krant,https://www.barneveldsekrant.nl/,barneveldsekrant.nl,lokale krant,Gelderland,Gelderse Vallei,Barneveld,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/barneveldse-krant
bdu_de_nieuwsbode,De Nieuwsbode,De Nieuwsbode,https://www.denieuwsbode.nl,denieuwsbode.nl,lokale krant,Utrecht,Utrechtse Heuvelrug en Zeist,Zeist,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/de-nieuwsbode
bdu_de_stad_amersfoort,De Stad Amersfoort,De Stad Amersfoort,https://www.destadamersfoort.nl,destadamersfoort.nl,lokale krant,Utrecht,Eemland,Amersfoort,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/de-stad-amersfoort
bdu_het_kompas_hardinxveld_giessendam,Het Kompas Hardinxveld-Giessendam,Het Kompas Hardinxveld-Giessendam,https://www.hetkompashardinxveld-giessendam.nl/,hetkompashardinxveld-giessendam.nl,lokale krant,Zuid-Holland,Alblasserwaard,Hardinxveld-Giessendam,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/het-kompas-hardinxveld-giessendam
bdu_ede_stad,Ede Stad,Ede Stad,https://edestad.nl,edestad.nl,lokale krant,Gelderland,Gelderse Vallei,Ede,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/ede-stad
bdu_de_rijnpost,De Rijnpost,De Rijnpost,https://derijnpost.nl,derijnpost.nl,lokale krant,Utrecht,Gelderse Vallei,Veenendaal,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/de-rijnpost
bdu_de_stad_gorinchem,De Stad Gorinchem,De Stad Gorinchem,https://www.destadgorinchem.nl/,destadgorinchem.nl,lokale krant,Zuid-Holland,Alblasserwaard,Gorinchem,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/de-stad-gorinchem
bdu_harderwijker_courant,Harderwijker Courant,Harderwijker Courant,https://www.harderwijkercourant.nl/,harderwijkercourant.nl,lokale krant,Gelderland,Veluwe,Harderwijk,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/harderwijker-courant
bdu_de_woudenberger,De Woudenberger,De Woudenberger,https://www.dewoudenberger.nl,dewoudenberger.nl,lokale krant,Utrecht,Gelderse Vallei,Woudenberg,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/de-woudenberger
bdu_ermelos_weekblad,Ermelo's Weekblad,Ermelo's Weekblad,https://ermelosweekblad.nl,ermelosweekblad.nl,lokale krant,Gelderland,Veluwe,Ermelo,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/ermelos-weekblad
